brand,model,car_condition,fuel,age,kiowatt,transmission,miles,color,doors,pogon,leather,navigation,alarm,alu_rims,digital_climate,manual_climate,parking_sensors,xenon,remote_unlock,el_r_mirror,seat_heat,panorama_roof,tempomat,abs,esp,asr,price
volkswagen,golf2 model,Polovan,Dizel,l7,45-55,Manuelni,l4,crvena,three,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
volkswagen,golf2 model,Polovan,Benzin,l7,0-45,Manuelni,l4,siva,three,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
ford,escort model,Polovan,Benzin,l7,45-55,Manuelni,l1,crvena,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
ford,fiesta model,Polovan,Benzin,l4,55-65,Manuelni,l2,crna,five,2 x 2,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,Cheap
mercedes-benz,190 model,Polovan,Benzin,l7,45-55,Automatik,l4,bijela,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
volkswagen,jetta model,Polovan,Dizel,l7,0-45,Manuelni,l5,crvena,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
ford,focus model,Polovan,Benzin,l6,55-65,Manuelni,l4,plava,five,2 x 2,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,Cheap
fiat,punto model,Polovan,Dizel,l5,65-75,Manuelni,l4,bijela,three,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
volkswagen,golf2 model,Polovan,Benzin,l7,65-75,Manuelni,l4,plava,three,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
audi,80 model,Polovan,Dizel,l7,0-45,Manuelni,l5,plava,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
ford,escort model,Polovan,Dizel,l7,45-55,Manuelni,l1,plava,five,2 x 2,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,Cheap
fiat,bravo model,Polovan,Benzin,l7,75-85,Manuelni,l5,siva,three,2 x 2,no,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,Cheap
volkswagen,golf2 model,Polovan,Dizel,l7,0-45,Manuelni,l4,siva,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
fiat,brava model,Polovan,Benzin,l6,55-65,Manuelni,l3,plava,five,2 x 2,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,Cheap
opel,astra model,Polovan,Benzin,l6,65-75,Manuelni,l4,bijela,five,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,yes,Cheap
volkswagen,golf2 model,Polovan,Dizel,l7,0-45,Manuelni,l5,plava,three,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
opel,vectra model,Polovan,Benzin,l7,55-65,Manuelni,l3,siva,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
renault,laguna model,Polovan,Benzin,l7,95-105,Manuelni,l5,plava,five,2 x 2,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,Cheap
citroen,xsara model,Polovan,Benzin,l6,55-65,Manuelni,l1,crvena,five,2 x 2,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,Cheap
fiat,palio model,Polovan,Benzin,l6,45-55,Manuelni,l5,plava,five,2 x 2,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,Cheap
audi,100 model,Polovan,Benzin,l7,95-105,Manuelni,l5,plava,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,Cheap
mercedes-benz,124 model,Polovan,Dizel,l7,85-95,Manuelni,l5,siva,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
renault,twingo model,Polovan,Benzin,l5,0-45,Automatik,l3,crna,three,2 x 2,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,Cheap
volkswagen,golf3 model,Polovan,Benzin,l7,65-75,Manuelni,l5,plava,three,2 x 2,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,Cheap
audi,80 model,Polovan,Dizel,l7,0-45,Manuelni,l5,plava,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
volkswagen,golf3 model,Polovan,Benzin,l7,55-65,Manuelni,l4,crvena,three,2 x 2,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
fiat,punto model,Polovan,Benzin,l6,0-45,Manuelni,l3,plava,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
seat,arosa model,Polovan,Benzin,l6,0-45,Manuelni,l4,siva,three,2 x 2,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,Cheap
volkswagen,polo model,Polovan,Benzin,l6,0-45,Manuelni,l5,srebrena,three,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,Cheap
ford,mondeo model,Polovan,Dizel,l7,65-75,Manuelni,l5,plava,five,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,Cheap
volkswagen,golf2 model,Polovan,Dizel,l7,45-55,Manuelni,l5,crvena,three,2 x 2,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,Cheap
fiat,palio model,Polovan,Dizel,l6,45-55,Manuelni,l4,siva,five,2 x 2,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,Cheap
volkswagen,transporter model,Polovan,Dizel,l7,45-55,Manuelni,l5,plava,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
opel,astra model,Polovan,Benzin,l6,55-65,Manuelni,l4,siva,three,2 x 2,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,Cheap
renault,clio model,Polovan,Benzin,l5,0-45,Manuelni,l3,crna,three,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
renault,twingo model,Polovan,Benzin,l5,55-65,Manuelni,l2,crvena,three,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
fiat,punto model,Polovan,Benzin,l5,0-45,Manuelni,l3,crna,five,2 x 2,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,Cheap
volkswagen,polo model,Polovan,Benzin,l6,0-45,Manuelni,l4,siva,three,2 x 2,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,Cheap
volkswagen,passat model,Polovan,Benzin,l6,95-105,Manuelni,l5,bijela,five,2 x 2,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,Cheap
renault,clio model,Polovan,Dizel,l5,45-55,Manuelni,l3,bijela,three,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,Cheap
volkswagen,polo model,Polovan,Benzin,l6,85-95,Manuelni,l5,crna,three,2 x 2,no,no,yes,yes,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,Cheap
citroen,xsarapicasso model,Polovan,Dizel,l6,65-75,Manuelni,l5,plava,five,2 x 2,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,no,Cheap
opel,astra model,Polovan,Dizel,l6,65-75,Manuelni,l5,crna,five,2 x 2,yes,no,no,no,no,yes,no,no,yes,no,yes,no,yes,yes,no,no,Cheap
renault,megane model,Polovan,Benzin,l5,75-85,Manuelni,l4,plava,five,2 x 2,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,Cheap
volkswagen,golf3 model,Polovan,Dizel,l6,65-75,Manuelni,l5,crvena,five,2 x 2,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,Cheap
ford,mondeo model,Polovan,Dizel,l5,95-105,Manuelni,l4,crna,five,2 x 2,yes,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,Cheap
audi,a4 model,Polovan,Dizel,l7,55-65,Manuelni,l5,crvena,five,2 x 2,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,Cheap
fiat,stilo model,Polovan,Dizel,l5,55-65,Manuelni,l1,siva,five,2 x 2,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,Cheap
ford,focus model,Polovan,Dizel,l6,55-65,Manuelni,l5,plava,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,Cheap
ford,focus model,Polovan,Dizel,l5,85-95,Manuelni,l1,plava,five,2 x 2,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,Cheap
renault,scenic model,Polovan,Dizel,l5,85-95,Manuelni,l4,siva,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Cheap
renault,megane model,Polovan,Dizel,l4,85-95,Manuelni,l5,crna,five,2 x 2,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Cheap
volkswagen,golf4 model,Polovan,Dizel,l6,55-65,Manuelni,l1,crvena,five,2 x 2,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,Cheap
kia,carnival model,Polovan,Dizel,l5,105-125,Manuelni,l4,plava,five,2 x 2,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,Cheap
seat,arosa model,Polovan,Dizel,l5,55-65,Manuelni,l3,crvena,three,2 x 2,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,Cheap
skoda,fabia model,Polovan,Benzin,l5,45-55,Manuelni,l5,siva,five,2 x 2,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,Cheap
opel,astra model,Polovan,Dizel,l6,55-65,Manuelni,l1,plava,five,2 x 2,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,yes,Cheap
seat,ibiza model,Polovan,Benzin,l5,65-75,Manuelni,l4,siva,five,2 x 2,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,Cheap
skoda,fabia model,Polovan,Benzin,l4,45-55,Manuelni,l4,siva,five,2 x 2,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,Cheap
ford,mondeo model,Polovan,Dizel,l6,85-95,Manuelni,l4,crna,five,2 x 2,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,no,no,Cheap
volkswagen,golf4 model,Polovan,Dizel,l6,45-55,Manuelni,l5,srebrena,five,2 x 2,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,Cheap
renault,laguna model,Polovan,Dizel,l5,85-95,Manuelni,l5,plava,five,2 x 2,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,Cheap
opel,corsa model,Polovan,Dizel,l5,45-55,Manuelni,l4,siva,three,2 x 2,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,Cheap
citroen,c5 model,Polovan,Dizel,l5,75-85,Manuelni,l5,siva,five,2 x 2,no,no,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,Cheap
