brand,model,car_condition,fuel,age,kiowatt,transmission,miles,color,doors,pogon,leather,navigation,alarm,alu_rims,digital_climate,manual_climate,parking_sensors,xenon,remote_unlock,el_r_mirror,seat_heat,panorama_roof,tempomat,abs,esp,asr,price
volkswagen,golf2 model,Polovan,Dizel,l7,45-55,Manuelni,l4,crvena,three,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0-1500
volkswagen,golf2 model,Polovan,Benzin,l7,0-45,Manuelni,l4,siva,three,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0-1500
ford,escort model,Polovan,Benzin,l7,45-55,Manuelni,l1,crvena,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0-1500
ford,fiesta model,Polovan,Benzin,l4,55-65,Manuelni,l2,crna,five,2 x 2,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,0-1500
mercedes-benz,190 model,Polovan,Benzin,l7,45-55,Automatik,l4,bijela,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0-1500
volkswagen,jetta model,Polovan,Dizel,l7,0-45,Manuelni,l5,crvena,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0-1500
ford,focus model,Polovan,Benzin,l6,55-65,Manuelni,l4,plava,five,2 x 2,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,0-1500
fiat,punto model,Polovan,Dizel,l5,65-75,Manuelni,l4,bijela,three,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0-1500
volkswagen,golf2 model,Polovan,Benzin,l7,65-75,Manuelni,l4,plava,three,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0-1500
audi,80 model,Polovan,Dizel,l7,0-45,Manuelni,l5,plava,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0-1500
ford,escort model,Polovan,Dizel,l7,45-55,Manuelni,l1,plava,five,2 x 2,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,1500-3000
fiat,bravo model,Polovan,Benzin,l7,75-85,Manuelni,l5,siva,three,2 x 2,no,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,1500-3000
volkswagen,golf2 model,Polovan,Dizel,l7,0-45,Manuelni,l4,siva,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,1500-3000
fiat,brava model,Polovan,Benzin,l6,55-65,Manuelni,l3,plava,five,2 x 2,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,1500-3000
opel,astra model,Polovan,Benzin,l6,65-75,Manuelni,l4,bijela,five,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,yes,1500-3000
