brand,model,car_condition,fuel,age,kiowatt,transmission,miles,color,doors,pogon,leather,navigation,alarm,alu_rims,digital_climate,manual_climate,parking_sensors,xenon,remote_unlock,el_r_mirror,seat_heat,panorama_roof,tempomat,abs,esp,asr,price
citroen,c5 model,Polovan,Dizel,l3,105-125,Automatik,l1,crna,five,2 x 2,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,12000-15000
audi,tt model,Polovan,Benzin,l5,105-125,Manuelni,l5,siva,three,2 x 2,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,no,12000-15000
audi,a3 model,Polovan,Dizel,l4,75-85,Manuelni,l4,srebrena,three,2 x 2,no,no,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,12000-15000
mercedes-benz,c model,Polovan,Benzin,l4,85-95,Manuelni,l2,crna,three,2 x 2,no,no,no,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,12000-15000
audi,a3 model,Polovan,Dizel,l4,95-105,Manuelni,l4,crna,three,4 x 4,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,12000-15000
renault,megane model,Polovan,Dizel,l2,65-75,Manuelni,l4,crna,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,12000-15000
audi,a4 model,Polovan,Dizel,l4,85-95,Manuelni,l4,siva,five,2 x 2,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,no,12000-15000
citroen,c3 model,Polovan,Dizel,l2,45-55,Manuelni,l3,bijela,five,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,yes,yes,no,no,12000-15000
ford,fiesta model,Polovan,Dizel,l2,65-75,Manuelni,l3,plava,five,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,12000-15000
renault,clio model,Polovan,Dizel,l2,55-65,Manuelni,l3,bijela,three,2 x 2,no,yes,no,no,no,yes,no,no,yes,yes,no,no,yes,yes,yes,no,12000-15000
renault,megane model,Polovan,Dizel,l3,65-75,Manuelni,l3,bijela,five,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,yes,yes,no,no,12000-15000
renault,megane model,Polovan,Dizel,l2,65-75,Manuelni,l4,bijela,five,2 x 2,no,no,yes,no,no,yes,no,no,yes,yes,no,no,yes,yes,no,no,12000-15000
renault,megane model,Polovan,Dizel,l3,65-75,Manuelni,l3,bijela,five,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,yes,yes,no,no,12000-15000
renault,megane model,Polovan,Dizel,l3,65-75,Manuelni,l2,bijela,five,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,yes,yes,no,no,12000-15000
renault,megane model,Polovan,Dizel,l2,65-75,Manuelni,l3,bijela,five,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,yes,yes,no,no,12000-15000
volkswagen,passat model,Polovan,Dizel,l4,95-105,Manuelni,l5,siva,five,2 x 2,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,12000-15000
seat,leon model,Polovan,Dizel,l4,75-85,Manuelni,l4,crna,five,2 x 2,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,yes,no,12000-15000
citroen,c3 model,Polovan,Dizel,l3,65-75,Manuelni,l2,crna,five,2 x 2,no,no,no,no,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,12000-15000
volkswagen,golf5 model,Polovan,Dizel,l4,75-85,Manuelni,l4,plava,five,2 x 2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,12000-15000
citroen,c3 model,Polovan,Dizel,l2,45-55,Manuelni,l3,siva,five,2 x 2,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,12000-15000
ford,fiesta model,Polovan,Dizel,l2,65-75,Manuelni,l3,srebrena,five,2 x 2,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,12000-15000
